Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,17115,2008,6,37.4,Y
IDCJAC0001,17115,2008,7,0,Y
IDCJAC0001,17115,2008,8,4.2,Y
IDCJAC0001,17115,2008,9,5,Y
IDCJAC0001,17115,2008,10,7.8,Y
IDCJAC0001,17115,2008,11,74.8,Y
IDCJAC0001,17115,2008,12,3.6,Y
IDCJAC0001,17115,2009,1,4,Y
IDCJAC0001,17115,2009,2,0,Y
IDCJAC0001,17115,2009,3,2,Y
IDCJAC0001,17115,2009,4,0,Y
IDCJAC0001,17115,2009,5,4.4,Y
IDCJAC0001,17115,2009,6,8.4,Y
IDCJAC0001,17115,2009,7,0,Y
IDCJAC0001,17115,2009,8,0,Y
IDCJAC0001,17115,2009,9,5.2,Y
IDCJAC0001,17115,2009,10,0,Y
IDCJAC0001,17115,2009,11,25.8,Y
IDCJAC0001,17115,2009,12,23,Y
IDCJAC0001,17115,2010,1,0,Y
IDCJAC0001,17115,2010,2,202,Y
IDCJAC0001,17115,2010,3,10,Y
IDCJAC0001,17115,2010,4,7,Y
IDCJAC0001,17115,2010,5,5.4,Y
IDCJAC0001,17115,2010,6,0,Y
IDCJAC0001,17115,2010,7,63.8,Y
IDCJAC0001,17115,2010,8,15.6,Y
IDCJAC0001,17115,2010,9,54.4,Y
IDCJAC0001,17115,2010,10,27,Y
IDCJAC0001,17115,2010,11,94.4,Y
IDCJAC0001,17115,2010,12,30,Y
IDCJAC0001,17115,2011,1,98,Y
IDCJAC0001,17115,2011,2,25.8,Y
IDCJAC0001,17115,2011,3,89,Y
IDCJAC0001,17115,2011,4,0,Y
IDCJAC0001,17115,2011,5,5,Y
IDCJAC0001,17115,2011,6,0,Y
IDCJAC0001,17115,2011,7,5,Y
IDCJAC0001,17115,2011,8,0,Y
IDCJAC0001,17115,2011,9,11.8,Y
IDCJAC0001,17115,2011,10,5.2,Y
IDCJAC0001,17115,2011,11,97.6,Y
IDCJAC0001,17115,2011,12,28.2,Y
IDCJAC0001,17115,2012,1,17,Y
IDCJAC0001,17115,2012,2,26.5,Y
IDCJAC0001,17115,2012,3,121.5,Y
IDCJAC0001,17115,2012,4,0,Y
IDCJAC0001,17115,2012,5,2,Y
IDCJAC0001,17115,2012,6,16,Y
IDCJAC0001,17115,2012,7,0,Y
IDCJAC0001,17115,2012,8,0,Y
IDCJAC0001,17115,2012,9,0,Y
IDCJAC0001,17115,2012,10,0,Y
IDCJAC0001,17115,2012,11,0,Y
IDCJAC0001,17115,2012,12,10.8,Y
IDCJAC0001,17115,2013,1,18,Y
IDCJAC0001,17115,2013,2,18.5,Y
IDCJAC0001,17115,2013,3,39.4,Y
IDCJAC0001,17115,2013,4,0,Y
IDCJAC0001,17115,2013,5,11,Y
IDCJAC0001,17115,2013,6,9.6,Y
IDCJAC0001,17115,2013,7,0,Y
IDCJAC0001,17115,2013,8,0,Y
IDCJAC0001,17115,2013,9,0,Y
IDCJAC0001,17115,2013,10,0,Y
IDCJAC0001,17115,2013,11,0,Y
IDCJAC0001,17115,2013,12,10.2,Y
IDCJAC0001,17115,2014,1,0,Y
IDCJAC0001,17115,2014,2,11,Y
IDCJAC0001,17115,2014,3,6.8,Y
