Trip,site,fence,leggadina,Rattusperhundred,fuscusperhundred,Smac,Scrassi,Mus,Paustralis,Pherman,Pdesertor,daysuridspecies,rodentspecies,mulgara,letterwingselect,letterwingperkm
1-Nov-16,W,in,0.00,0.00,0.99,0.000,0.0,0.7,0.2,0.2,0.0,0.00,4.00,0.0,0.00,0.0000
1-Mar-17,Q,out,0.00,0.00,38.10,0.493,0.5,1.6,0.0,1.0,1.6,1.00,4.00,0.0,0.00,0.0000
1-Mar-17,SNP,in,0.00,0.00,2.30,0.000,0.0,0.1,0.0,0.0,0.0,0.00,2.00,0.0,0.00,0.0000
1-Mar-17,SRR,out,0.00,0.00,26.29,0.000,0.0,0.1,0.1,0.6,0.3,1.00,5.00,0.4,0.00,0.0000
1-Mar-17,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jul-17,Q,out,0.00,0.00,69.46,0.328,0.0,1.3,0.5,1.3,0.0,1.00,4.00,0.0,0.00,0.0000
1-Jul-17,SNP,in,0.00,0.00,0.14,0.000,0.1,0.4,0.0,0.0,0.0,0.00,2.00,0.0,0.00,0.0000
1-Jul-17,SRR,out,0.00,0.00,42.60,0.000,0.0,1.8,0.0,0.2,0.0,1.00,3.00,0.5,0.00,0.0000
1-Jul-17,W,in,0.00,0.00,0.00,0.000,0.3,0.0,0.0,0.2,0.0,1.00,1.00,0.0,0.00,0.0000
1-Nov-17,Q,out,0.00,0.00,41.30,0.985,0.0,0.2,0.0,0.0,0.0,1.00,2.00,0.0,1.00,0.0220
1-Nov-17,SNP,in,0.00,0.00,0.14,0.000,0.1,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Nov-17,SRR,out,0.00,0.00,9.23,0.000,0.0,0.1,0.0,0.4,0.7,0.00,4.00,4.6,1.00,0.0289
1-Nov-17,W,in,0.00,0.00,0.00,0.164,0.0,0.2,0.0,0.2,0.0,1.00,2.00,0.0,0.00,0.0000
1-Mar-18,Q,out,0.00,0.00,8.25,0.328,0.0,0.0,0.2,0.0,0.0,1.00,2.00,0.0,0.00,0.0000
1-Mar-18,SNP,in,0.00,0.00,0.13,0.000,0.0,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Mar-18,SRR,out,0.00,0.00,4.80,0.000,0.0,0.0,0.0,0.1,0.0,1.00,2.00,3.3,0.00,0.0000
1-Mar-18,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.2,0.0,0.00,1.00,0.0,0.00,0.0000
1-Jun-18,Q,out,0.00,0.00,1.97,0.164,0.0,0.0,0.0,0.2,0.0,1.00,2.00,0.0,0.00,0.0000
1-Jun-18,SNP,in,0.00,0.00,0.00,0.000,0.3,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jun-18,SRR,out,0.00,0.00,2.87,0.000,0.0,0.0,0.0,0.3,0.0,1.00,2.00,1.3,0.00,0.0000
1-Jun-18,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-18,Q,out,0.00,0.00,0.16,0.985,0.0,0.0,0.0,0.2,0.0,1.00,2.00,0.0,0.00,0.0000
1-Nov-18,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.2,0.0,0.00,1.00,0.0,0.00,0.0000
1-Nov-18,SRR,out,0.00,0.00,3.16,0.000,0.0,0.0,0.0,0.0,0.0,1.00,1.00,0.9,0.00,0.0000
1-Nov-18,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Mar-19,Q,out,0.00,0.00,0.49,0.328,0.0,0.0,0.0,0.2,0.0,1.00,2.00,0.0,0.00,0.0000
1-Mar-19,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Mar-19,SRR,out,0.00,0.00,2.54,0.363,0.0,0.0,0.0,0.0,0.0,2.00,1.00,3.1,0.00,0.0000
1-Mar-19,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jun-19,Q,out,0.00,0.00,0.29,0.862,0.0,0.0,0.0,0.0,0.0,1.00,1.00,0.0,0.00,0.0000
1-Jun-19,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jun-19,SRR,out,0.00,0.00,0.08,0.000,0.0,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Jun-19,W,in,0.00,0.00,0.00,0.000,0.4,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-19,Q,out,0.00,0.00,0.00,0.430,0.0,0.0,0.0,0.0,0.0,2.00,0.00,0.4,#NULL!,#NULL!
1-Nov-19,SNP,in,0.00,0.00,0.00,0.423,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.0,#NULL!,0.0000
1-Nov-19,SRR,out,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,1.00,0.00,0.2,0.00,0.0000
1-Nov-19,W,in,0.00,0.00,0.00,0.000,0.4,0.8,0.0,0.0,0.0,1.00,1.00,0.0,0.00,0.0000
1-Mar-20,Q,out,0.00,0.00,0.00,0.138,0.0,0.0,0.0,0.2,0.0,1.00,1.00,0.0,0.00,0.0000
1-Mar-20,SNP,in,0.00,0.00,0.00,0.000,0.4,0.0,0.2,0.6,0.0,1.00,2.00,0.0,#NULL!,0.0000
1-Mar-20,SRR,out,0.00,0.00,0.74,0.000,0.0,0.0,0.0,0.0,0.0,1.00,1.00,4.4,#NULL!,0.0000
1-Mar-20,W,in,0.00,0.00,0.00,0.000,0.2,0.0,0.0,1.2,0.0,1.00,1.00,0.0,#NULL!,0.0000
